pond	family	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	sl	sex
10	1	2	46.043	60.299	78.409	287.569	206.62	354.045	355.629	290.765	271.919	63.3	f
10	1	3	48	58	66.121	282.708	214.234	368	358.675	250.2	274.007	59.4	f
10	1	4	46	92.347	78.638	298.67	254.283	334.054	344.006	268.007	306.059	57.5	m
10	1	5	42.048	87.476	71.386	289.365	189.082	325.576	320.581	236.846	257.123	57.5	f
10	1	6	52.038	87.476	88.363	273.562	178.55	381.182	312.775	260.277	276.116	61.8	f
10	2	1	44.045	64.125	58.034	307.103	202.988	338.142	343.313	252.958	278.869	57.6	m
11	1	1	52	86.023	92.347	296.169	208.154	312	350.006	266.188	288.062	55.9	m
11	1	10	48	60.033	68.264	290.338	254.071	342.023	358.022	288.007	298.007	60.5	m
11	1	11	46	96.083	76	272.184	204.157	304.105	334.15	276.007	320.025	56.4	m
11	1	13	50.04	98.082	76.026	272.066	178.101	358.05	316.101	264.121	288	60.1	f
11	1	14	54.037	106.301	66	228.429	168.012	292.062	308	260.192	242.033	49.5	f
11	1	15	52.154	82.389	58.856	231.465	179.611	326.613	324.302	264.371	266.188	48.2	f
11	1	17	52.038	96.519	67.052	286.056	183.183	337.004	331.494	278.869	267.013	61.9	f
11	1	18	48	76.026	90.2	289.558	219.107	312.832	339.912	268.745	268.901	51.5	m
11	1	19	48.042	68.118	84.214	292.335	190.672	312.16	308.162	246.033	266.068	47.1	m
11	1	2	50.04	98.509	78.102	250.264	163.487	313.465	315.379	223.258	253.18	51.9	m
11	1	20	50	68.264	76.236	273.437	210.609	327.567	350.069	259.515	273.649	50.3	m
11	1	22	48	108.296	78.918	278.352	226.035	302.06	330.006	244.295	252.071	49	f
11	1	3	46.043	94.763	74.673	287.785	240.832	400.425	363.329	291.76	287.367	58.7	f
11	1	4	48	116.43	90.708	311.718	217.706	323.58	321.646	287.089	272.389	58.8	m
11	1	6	48	70.029	90.796	258.519	202.544	357.099	347.667	270.74	279.213	57.1	f
11	1	8	56.143	82.873	77.279	273.649	190.683	319.049	295.296	275.427	251.873	51.6	f
11	1	9	56	116.069	92	287.005	238.68	425.06	353.276	302.424	334.485	70.9	f
12	1	1	50.04	86	54.332	258.031	160.611	318.308	330	218.147	246.13	54.5	f
12	1	2	50	98.082	78.23	268.007	210.038	334.383	350.006	272.118	304.059	56.7	m
12	1	3	52	94.763	62.801	263.697	162.788	360.976	299.366	258.874	265.149	56.7	f
12	1	4	46	98.082	68.264	252.286	172.047	350.023	332.024	244.033	270	62.1	f
12	1	5	50.04	122	84.214	274.467	182.176	385.523	363.989	268.745	270.474	62.1	NA
12	1	6	48	88.023	88.363	255.766	170.575	328.445	319.625	261.725	271.588	57.1	f
12	1	9	50.16	98	80.1	292.062	196.092	350.691	348.207	272.029	310.413	61.3	f
12	2	1	44.045	62.032	62.514	252.071	202.01	330.606	330.606	260.192	250.392	50.9	m
12	2	2	46	50.16	52.345	252.642	201.683	320.4	332.602	268.03	260.192	59.6	f
12	2	3	48	114.018	88.023	304.657	226.221	334.293	344.093	276.463	246.13	61.2	m
13	1	1	50	92.087	78.638	280.863	195.028	341.901	345.485	288.34	264.915	64.8	f
13	1	2	44.045	82.098	88.023	288.34	252.032	394.411	386.254	262.069	268.03	67.1	m
13	1	3	52	76.026	78.026	254.031	224	352.687	342.146	282.113	288.25	69.9	f
13	1	4	50	74.108	60.299	296.675	216.083	364.927	340.288	282.113	314.102	64.2	f
13	1	5	48	62	62.032	194	160	270	280.007	226.009	230.078	43.34	f
13	1	6	46.043	70.029	60.133	292.007	206.243	306.026	326.006	326.098	266.03	70.75	f
13	2	7	50	74	70.114	274.007	226.009	326.153	362.05	256.008	258.07	56.66	m
13	2	8	46.043	68.029	70.257	314.025	230.009	342.146	352.006	288	292.007	62.35	m
13	2	9	48.166	96.021	68	270.007	196.163	332.385	336.095	224.036	244	56.9	f
5	1	1	48	60.033	58	252.642	184.043	336	292	224	230	48.8	m
5	1	11	50	90	76	270	182	410	374	264	274	60.2	f
5	1	12	48	62	72	268	194	352	306	258	258	53	f
5	1	13	48	72	64	236	160	338	298	214	222	46.7	f
5	1	14	42	80	50	258	190	350	302	240	236	49	m
5	1	15	46	104.173	72.25	271.662	169.186	350.189	308.415	235.032	250.799	54.6	f
5	1	16	52	102	70.114	240.533	162.604	358.24	311.088	220.445	268.604	56.3	f
5	1	17	46	94.085	70.456	252.301	176.238	377.041	340.359	240.133	290.172	66.3	f
5	1	18	48	90	62.032	246.073	162.012	352.023	298.06	236.008	244.295	57.9	f
5	1	19	48.042	96	76.026	298.027	198.091	360.272	356.09	252	270.007	56.1	m
5	1	2	44	84	64.125	232	150	320	284	214	234	48.6	f
5	1	2	44	84	64.125	232	150	320	284	214	234	48.6	f
5	1	20	44	124.064	66.272	282.454	192.51	326.153	346.023	268.067	302.424	65.3	f
5	1	22	50	64	58	254	168	296	280	222	238	48.9	f
5	1	3	46	82	62	246	196	328	312	236	246	52	m
5	1	3	46	82	62	246	196	328	312	236	246	52	m
5	1	4	44	78	68	246	206	386	324	248	262	52.2	m
5	1	4	44	78	68	246	206	386	324	248	262	52.2	m
5	1	5	44	82	60	239.416	175.647	322	314	234	236	55.2	f
5	1	6	40	86.023	72	252	196	326	330	250	226	50.2	m
5	1	7	42	76.105	56.143	248.974	188.68	361.602	328.877	235.669	219.545	55.9	f
5	1	8	46	56.036	66.03	260.192	202.04	318	312.006	234.034	250.008	49.7	m
5	1	9	42	69.426	76.158	255.766	182.833	319.756	323.067	285.111	269.948	58	m
5	2	1	46.043	104.938	67.082	252.99	173.666	319.931	315.373	239.641	257.752	58.53	f
5	2	10	46	58.034	62.129	258	178.011	378.19	330.218	258.008	282.113	62.04	f
5	2	11	50	87.476	78.918	268.343	154.984	359.388	340	260.1	278.525	59.98	f
5	2	12	44	92	66	328	214	392	346	248	282	59.56	m
5	2	13	42.048	87.132	63.151	258.132	161.505	380.494	317.717	264.197	247.823	54.77	f
5	2	14	46	70.257	70.456	266.18	180.544	406.079	332.096	235.669	249.808	59.14	f
5	2	15	48	90.022	76	294	200.04	378.048	332.295	274.029	288.062	55.28	m
5	2	16	44.045	98.082	80.025	294.027	208.087	360.45	382.047	268.03	296.027	59.78	m
5	2	17	46	110.164	66.483	285.797	215.035	348.574	357.099	292.171	304.237	58.51	m
5	2	18	48	118.457	78.638	263.492	218.742	388.417	354.457	296.061	286.342	62.19	m
5	2	19	44	86	64	256.07	168.012	372	308.058	250.008	258.008	57.33	f
5	2	2	48	84.9	74.243	281.155	186.687	378.64	350.964	254.071	258.031	52.95	m
5	2	20	44	85.907	77.279	242.33	198.917	360.411	346.439	249.56	256.912	51.11	f
5	2	21	46	105.546	82.873	244.663	173.666	384.796	335.452	247.257	257.317	55.83	f
5	2	22	44	92.195	84.095	254.786	188.096	401.617	346.976	252.198	252.127	56.72	f
5	2	23	46.043	92.347	78.102	280.713	198.595	352.142	332.385	266.068	262.122	56.72	f
5	2	24	46	82.219	70.456	252.301	180.898	346.554	311.416	268.701	283.436	56.62	f
