pond	cross	id	sex	treatment	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	sl	bd
10	4	79	1	P	23	38.053	29.017	92.005	74	142.225	136.015	104.019	88.023	47.19	8.92
10	4	81	1	P	24.083	31	31.401	84.717	61	119.683	117.154	85.094	75.107	37.48	7.22
10	4	82	0	P	23.022	36	31.016	97.329	72.062	151.212	130.553	95	88	44.47	9.4
10	4	83	0	P	24.021	52.24	31.401	97.673	73.98	135.3	129.314	104.938	99.141	44.95	8.51
10	4	84	0	P	24	30.594	27.074	84.345	63.506	134.629	107.299	78.409	86.145	36.91	7.93
10	4	85	1	P	23.022	35.014	31.257	85.212	62.29	132.034	115.352	86.023	81.025	38.08	7.53
10	4	86	1	P	23.022	31.064	26.173	84.054	64.008	125.483	119.067	92.195	83.024	34.77	7.29
10	4	88	1	P	24	43.186	27.659	82.976	66.731	140.057	118.6	100.245	89.805	43.34	8.29
10	4	89	0	P	23.022	30.017	25.179	84.012	60.671	131.137	108.374	82.098	81.394	32.37	6.44
10	4	90	0	P	24	41.049	27.019	92.049	65	122.004	113.004	93.263	84.095	37.25	7.65
10	4	91	1	P	23.022	44	28.071	81.744	65.765	132.185	117.098	84.214	84.291	35.26	7.38
10	4	92	1	P	24	35.014	29.017	85.094	66.068	140.057	122.037	91.005	86.023	39.25	7.53
10	4	94	0	P	24.021	47	33.015	91.137	74	140.004	128.004	87.006	87.006	41.55	8.19
10	4	95	0	P	23.022	44.011	33.015	96.421	68.029	142.225	126.479	0	76.42	40.27	7.49
10	4	96	1	P	24	38.639	25.962	92.655	58.694	128.265	112.579	83.385	85.147	37.81	7.86
10	4	97	1	P	26.019	27.166	24.187	74.545	53.151	122.409	110.018	73.11	83.15	36.1	6.82
10	4	98	0	P	26	39.051	27.659	89.677	64.938	136.195	118.533	87.207	82.298	36.78	7.33
10	4	99	0	P	25.02	38	35.057	93.022	74.007	151.476	126.396	98.02	95	44.55	9.37
10	4	100	0	P	24.021	33.136	31.016	94.133	74.027	145.014	136.004	102.044	99.02	42.66	8.85
11	1	58	0	P	25.08	28.636	18.682	80.411	59.135	132.544	107.49	76.236	78.854	33.23	6.6
11	1	62	0	P	26	34.015	26.077	86.023	56.08	140.228	101.178	79.158	72.443	33.2	6.43
11	1	66	1	P	25.02	26.249	24.042	77.878	49.649	123.045	109.882	79.228	69.721	51.18	10.71
11	1	76	1	P	25.02	31.623	30.265	97.329	72.801	149.482	129.877	97.329	92.779	47.21	8.97
11	1	77	1	P	24.021	29.411	29.732	90.244	67.052	151.585	123.081	89.269	84.404	39.29	7.81
11	1	80	1	P	25.02	58.549	38.118	103.121	71.063	155.364	129.757	99.408	99.85	51.64	10.55
11	1	87	1	P	24.021	29.12	23.537	92.655	71.344	135.915	120.839	77.647	86.701	40.35	8.02
11	1	88	1	P	28.16	34.059	27.019	83.024	59.008	135.015	117.017	79.101	73.007	38.05	8.11
