pond	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	treatment	sl	bd
10	79	79	23	38.053	29.017	92.005	74	142.225	136.015	104.019	P	47.19	8.92
10	81	81	24.083	31	31.401	84.717	61	119.683	117.154	85.094	P	37.48	7.22
10	82	82	23.022	36	31.016	97.329	72.062	151.212	130.553	95	P	44.47	9.4
10	83	83	24.021	52.24	31.401	97.673	73.98	135.3	129.314	104.938	P	44.95	8.51
10	84	84	24	30.594	27.074	84.345	63.506	134.629	107.299	78.409	P	36.91	7.93
10	85	85	23.022	35.014	31.257	85.212	62.29	132.034	115.352	86.023	P	38.08	7.53
10	86	86	23.022	31.064	26.173	84.054	64.008	125.483	119.067	92.195	P	34.77	7.29
10	88	88	24	43.186	27.659	82.976	66.731	140.057	118.6	100.245	P	43.34	8.29
10	89	89	23.022	30.017	25.179	84.012	60.671	131.137	108.374	82.098	P	32.37	6.44
10	90	90	24	41.049	27.019	92.049	65	122.004	113.004	93.263	P	37.25	7.65
10	91	91	23.022	44	28.071	81.744	65.765	132.185	117.098	84.214	P	35.26	7.38
10	92	92	24	35.014	29.017	85.094	66.068	140.057	122.037	91.005	P	39.25	7.53
10	94	94	24.021	47	33.015	91.137	74	140.004	128.004	87.006	P	41.55	8.19
10	95	95	23.022	44.011	33.015	96.421	68.029	142.225	126.479	0	P	40.27	7.49
10	96	96	24	38.639	25.962	92.655	58.694	128.265	112.579	83.385	P	37.81	7.86
10	97	97	26.019	27.166	24.187	74.545	53.151	122.409	110.018	73.11	P	36.1	6.82
10	98	98	26	39.051	27.659	89.677	64.938	136.195	118.533	87.207	P	36.78	7.33
10	99	99	25.02	38	35.057	93.022	74.007	151.476	126.396	98.02	P	44.55	9.37
10	100	100	24.021	33.136	31.016	94.133	74.027	145.014	136.004	102.044	P	42.66	8.85
11	58	58	25.08	28.636	18.682	80.411	59.135	132.544	107.49	76.236	P	33.23	6.6
11	62	62	26	34.015	26.077	86.023	56.08	140.228	101.178	79.158	P	33.2	6.43
11	66	66	25.02	26.249	24.042	77.878	49.649	123.045	109.882	79.228	P	51.18	10.71
11	76	76	25.02	31.623	30.265	97.329	72.801	149.482	129.877	97.329	P	47.21	8.97
11	77	77	24.021	29.411	29.732	90.244	67.052	151.585	123.081	89.269	P	39.29	7.81
