id,treatment,sex,sl,bd,region,size,resid
F3_P10_79,P,M,47.19,8.92,olf_size,6.557459417,10.2861276
F3_P10_81,P,M,37.48,7.22,olf_size,5.272709859,-1.676701126
F3_P10_82,P,F,44.47,9.4,olf_size,6.618385537,7.646994343
F3_P10_83,P,F,44.95,8.51,olf_size,8.931293336,14.35267303
F3_P10_84,P,F,36.91,7.93,olf_size,4.517686354,1.002668436
F3_P10_85,P,M,38.08,7.53,olf_size,6.487132876,4.537212163
F3_P10_86,P,M,34.77,7.29,olf_size,4.819196738,11.25074329
F3_P10_88,P,M,43.34,8.29,olf_size,6.51488635,8.10206003
F3_P10_89,P,F,32.37,6.44,olf_size,4.479912551,7.415111997
F3_P10_90,P,F,37.25,7.65,olf_size,6.04921809,6.66610094
F3_P10_91,P,M,35.26,7.38,olf_size,7.321066205,7.562293766
F3_P10_92,P,M,39.25,7.53,olf_size,5.541427127,4.982015686
F3_P10_94,P,F,41.55,8.19,olf_size,8.448446647,1.653875232
F3_P10_95,P,F,40.27,7.49,olf_size,8.61264034,-38.53470216
F3_P10_96,P,M,37.81,7.86,olf_size,5.471311143,2.164322902
F3_P10_97,P,M,36.1,6.82,olf_size,3.049133022,-6.977168014
F3_P10_98,P,F,36.78,7.33,olf_size,5.019631207,-2.379616548
F3_P10_99,P,F,44.55,9.37,olf_size,6.685495599,4.76168121
F3_P10_100,P,F,42.66,8.85,olf_size,5.595689087,14.56147728
F3_P11_58,P,F,33.23,6.6,olf_size,2.671963553,-2.859039138
F3_P11_62,P,F,33.2,6.43,olf_size,4.122221073,-6.209827285
F3_P11_66,P,M,51.18,10.71,olf_size,3.167076966,-19.57054019
F3_P11_76,P,M,47.21,8.97,olf_size,4.803071019,1.212233779
F3_P11_77,P,M,39.29,7.81,olf_size,4.761037712,3.275314637
F3_P11_80,P,M,51.64,10.55,olf_size,11.20017606,2.151893087
F3_P11_87,P,M,40.35,8.02,olf_size,3.731729745,-1.945329698
F3_P11_88,P,M,38.05,8.11,olf_size,3.645740356,-13.87403705
