id,standard_length
5.1.1,48.8
5.1.2,48.6
5.1.3,52
5.1.4,52.2
5.1.5,55.2
5.1.6,50.2
5.1.7,55.9
5.1.8,49.7
5.1.9,58
5.1.10,54.8
5.1.11,60.2
5.1.12,53
5.1.13,46.7
5.1.14,49
5.1.15,54.6
5.1.16,56.3
5.1.17,66.3
5.1.18,57.9
5.1.19,56.1
5.1.20,65.3
5.1.21,49.6
5.1.22,48.9
5.2.1,58.53
5.2.2,52.95
5.2.3,48.01
5.2.4,54.93
5.2.5,48.33
5.2.6,62.49
5.2.7,51.68
5.2.8,52.88
5.2.9,54.08
5.2.10,62.04
5.2.11,59.98
5.2.12,59.56
5.2.13,54.77
5.2.14,59.14
5.2.15,55.28
5.2.16,59.78
5.2.17,58.51
5.2.18,62.19
5.2.19,57.33
5.2.20,51.11
5.2.21,55.83
5.2.22,56.72
5.2.23,56.72
5.2.24,56.62
5.2.25,62.05
6.1.1,59.3
6.2.1,58
6.2.2,58.6
6.2.3,54
6.2.4,56.7
6.2.5,57
6.2.6,56.1
6.2.7,60.1
6.2.8,56.1
6.2.9,62.2
6.2.10,54.8
6.2.11,53.1
6.2.12,58.8
6.2.13,57.4
6.2.14,55.8
6.2.15,60.3
6.2.16,52.9
7.1.1,57
7.1.2,54.7
7.1.3,53.7
7.1.4,55.1
7.1.5,56.6
7.1.6,55.1
7.1.7,49.5
7.1.8,47.2
7.1.9,49.52
7.1.10,50.4
7.1.11,53.66
7.1.12,54.35
7.1.13,62.19
7.1.14,64.59
7.1.15,48.38
7.1.16,48.32
7.1.17,49.58
7.1.18,48.85
7.1.19,43.08
7.1.20,51.79
7.1.21,45.46
7.1.22,44.84
7.1.23,51.54
7.1.24,46.85
7.1.25,47.99
7.1.26,50.18
7.1.27,47.3
7.1.28,54.74
7.1.29,61.5
7.1.30,46.72
7.1.31,62.27
7.2.1,64.1
7.2.2,60.97
7.2.3,62.84
7.2.4,65.47
7.2.5,63.17
7.2.6,64.62
7.2.7,57.62
7.2.8,55.04
7.2.9,58.44
7.2.10,58.32
7.3.1,61.95
7.3.2,66.99
7.3.3,61.48
8.1.1,71.4
8.1.2,60.69
8.1.3,60.1
8.1.4,49.16
8.1.5,51.25
8.1.6,60.12
8.1.7,59.26
8.1.8,61.61
8.1.9,67.75
8.1.10,50.23
8.1.11,65.8
8.1.12,64.78
8.1.13,59
8.1.14,55.92
8.1.15,70.43
8.1.16,54.58
8.2.1,54.76
8.2.2,65.91
8.2.3,55.23
8.2.4,60.52
8.2.5,54.62
8.2.6,56
8.2.7,52.93
8.2.8,56.16
8.2.9,57.81
8.2.10,56.9
8.2.11,58.85
8.2.12,55.62
9.1.1,51.2
9.1.2,56.4
9.1.3,56.38
9.1.4,62.56
9.1.5,53.05
9.1.6,54.85
9.1.7,56.7
9.1.8,53.54
9.1.9,50.63
9.1.10,50.61
9.1.11,55.6
9.1.12,53.4
9.1.13,49.54
9.1.14,55.48
9.1.15,64.86
9.1.16,49.8
9.2.1,60.14
9.2.2,62.09
9.2.3,60.41
9.2.4,57.55
9.2.5,65.44
9.2.6,53.5
9.2.7,61.96
9.2.8,61.64
9.2.9,58.27
9.2.10,58.86
9.2.11,63.92
9.2.12,60.01
9.2.13,69.35
9.2.14,71.19
9.2.15,64.5
9.2.16,68.6
9.2.17,52.1
9.2.18,70.64
9.2.19,59.85
9.2.20,58.73
9.2.21,58.63
10.1.1,61.9
10.1.2,63.3
10.1.3,59.4
10.1.4,57.5
10.1.5,57.5
10.1.6,61.8
10.2.1,57.6
11.1.1,55.9
11.1.2,51.9
11.1.3,58.7
11.1.4,58.8
11.1.5,59.5
11.1.6,57.1
11.1.7,55.8
11.1.8,51.6
11.1.9,70.9
11.1.10,60.5
11.1.11,56.4
11.1.12,61.4
11.1.13,60.1
11.1.14,49.5
11.1.15,48.2
11.1.16,50
11.1.17,61.9
11.1.18,51.5
11.1.19,47.1
11.1.20,50.3
11.1.21,
11.1.22,49
12.1.1,54.5
12.1.2,56.7
12.1.3,56.7
12.1.4,62.1
12.1.5,62.1
12.1.6,57.1
12.1.7,39.1
12.1.8,52.7
12.1.9,61.3
12.1.10,45.5
12.2.1,50.9
12.2.2,59.6
12.2.3,61.2
12.2.4,49.7
13.1.1,64.8
13.1.2,67.1
13.1.3,69.9
13.1.4,64.2
13.1.5,43.34
13.1.6,70.75
13.2.1,57.64
13.2.2,58.42
13.2.3,58.7
13.2.4,60.37
13.2.5,62.17
13.2.6,59.04
13.2.7,56.66
13.2.8,62.35
13.2.9,56.9
