pond family id treatment sex sl region size
10 1 2 P F 63.3 olf_size 7.00646039821028
10 1 3 P F 59.4 olf_size 5.22919460728499
10 1 4 P M 57.5 olf_size 10.7817550358926
10 1 5 P F 57.5 olf_size 11.0958646166096
10 1 6 P F 61.8 olf_size 8.96743107229781
10 2 1 P M 57.6 olf_size 6.02651896458995
11 1 1 P M 55.9 olf_size 9.22955072717338
11 1 10 P M 60.5 olf_size 5.58790709971748
11 1 11 P M 56.4 olf_size 10.8416243700614
11 1 13 P F 60.1 olf_size 9.35549400819506
11 1 14 P F 49.5 olf_size 7.54829210401607
11 1 15 P F 48.2 olf_size 5.60060059268351
11 1 17 P F 61.9 olf_size 7.50815499066685
11 1 18 P M 51.5 olf_size 9.35052674565102
11 1 19 P M 47.1 olf_size 7.80825340277821
11 1 20 P M 50.3 olf_size 6.53975830457887
11 1 22 P F 49 olf_size 9.65280062957862
11 1 222 P NA NA olf_size 11.6534866865289
11 1 3 P F 58.7 olf_size 10.4863668645117
11 1 4 P M 58.8 olf_size 14.4005104544674
11 1 6 P F 57.1 olf_size 8.66985908751059
11 1 8 P F 51.6 olf_size 6.3831227478168
11 1 9 P F 70.9 olf_size 10.6973914634169
12 1 1 P F 54.5 olf_size 5.86231855311766
12 1 2 P M 56.7 olf_size 9.64211944780084
12 1 3 P F 56.7 olf_size 6.91430520327011
12 1 4 P F 62.1 olf_size 9.94066080268915
12 1 5 P NA 62.1 olf_size 12.8901923285465
12 1 6 P F 57.1 olf_size 10.6055700337732
12 1 9 P F 61.3 olf_size 9.80151951242037
12 2 1 P M 50.9 olf_size 6.27985644606855
12 2 2 P F 59.6 olf_size 3.898225349433
12 2 3 P M 61.2 olf_size 13.6847536198495
13 1 1 P F 64.8 olf_size 9.09998441181782
13 1 2 P M 67.1 olf_size 11.7026815554511
13 1 3 P F 69.9 olf_size 6.89199049969745
13 1 4 P F 64.2 olf_size 5.6154564918789
13 1 5 P F 43.34 olf_size 5.24414717023606
13 1 6 P F 70.75 olf_size 6.24041457581932
13 2 7 P M 56.66 olf_size 6.51998096848832
13 2 8 P M 62.35 olf_size 7.08282212250645
13 2 9 P F 56.9 olf_size 8.84186434045152
5 1 1 NP M 48.8 olf_size 4.74772371650671
5 1 11 NP F 60.2 olf_size 8.59539750022167
5 1 12 NP F 53 olf_size 6.08683576633022
5 1 13 NP F 46.7 olf_size 6.28318530717959
5 1 14 NP M 49 olf_size 7.12379286528298
5 1 15 NP F 54.6 olf_size 11.1744776706281
5 1 16 NP F 56.3 olf_size 8.3089874208606
5 1 17 NP F 66.3 olf_size 9.84175573371665
5 1 18 NP F 57.9 olf_size 7.61247169872977
5 1 19 NP M 56.1 olf_size 9.93438734454081
5 1 2 NP F 48.6 olf_size 8.7408000147528
5 1 2 NP F 48.6 olf_size 8.7408000147528
5 1 20 NP F 65.3 olf_size 13.3419827945314
5 1 22 NP F 48.9 olf_size 4.66463677205012
5 1 3 NP M 52 olf_size 7.54813660248134
5 1 3 NP M 52 olf_size 7.54813660248134
5 1 4 NP M 52.2 olf_size 8.60692532781005
5 1 4 NP M 52.2 olf_size 8.60692532781005
5 1 5 NP F 55.2 olf_size 7.98379951222199
5 1 6 NP M 50.2 olf_size 12.161215117789
5 1 7 NP F 55.9 olf_size 7.6095696703255
5 1 8 NP M 49.7 olf_size 5.49341783572349
5 1 9 NP M 58 olf_size 9.41648819535446
5 2 1 NP F 58.53 olf_size 10.4318523566133
5 2 10 NP F 62.04 olf_size 5.35317052688195
5 2 11 NP F 59.98 olf_size 8.67510720545323
5 2 12 NP M 59.56 olf_size 9.85317695898617
5 2 13 NP F 54.77 olf_size 9.77725856372744
5 2 14 NP F 59.14 olf_size 7.34922923509306
5 2 15 NP M 55.28 olf_size 9.32888302668012
5 2 16 NP M 59.78 olf_size 12.710763549208
5 2 17 NP M 58.51 olf_size 10.8738794581601
5 2 18 NP M 62.19 olf_size 12.7016630374596
5 2 19 NP F 57.33 olf_size 8.93147002342883
5 2 2 NP M 52.95 olf_size 8.59469759592085
5 2 20 NP F 51.11 olf_size 10.7729480714385
5 2 21 NP F 55.83 olf_size 12.9864081708682
5 2 22 NP F 56.72 olf_size 12.5811999134318
5 2 23 NP F 56.72 olf_size 10.6882743629088
5 2 24 NP F 56.62 olf_size 8.60051352150129
5 2 25 NP F 62.05 olf_size 9.49222483941287
5 2 3 NP F 48.01 olf_size 9.95738144531075
5 2 4 NP M 54.93 olf_size 9.15008960011495
5 2 6 NP M 62.49 olf_size 12.8375084021578
6 1 1 NP F 59.3 olf_size 17.7279152553203
6 2 1 NP M 58 olf_size 14.829042443427
6 2 10 NP M 54.8 olf_size 8.13572904536531
6 2 11 NP M 53.1 olf_size 13.0690126176612
6 2 12 NP M 58.8 olf_size 9.90830528816312
6 2 13 NP F 57.4 olf_size 7.15024112461647
6 2 14 NP M 55.8 olf_size 14.0698354102009
6 2 15 NP M 60.3 olf_size 8.49360978343136
6 2 15 NP M 60.3 olf_size 8.49360978343136
6 2 2 NP F 58.6 olf_size 14.5053327081921
6 2 3 NP M 54 olf_size 10.8856185446886
6 2 7 NP F 60.1 olf_size 11.6830202990641
6 2 9 NP F 62.2 olf_size 8.24668071567321
7 1 10 P M 50.4 olf_size 4.86383130656916
7 1 11 P M 53.66 olf_size 4.53641504168127
7 1 12 P F 54.35 olf_size 7.87838373219519
7 1 13 P F 62.19 olf_size 11.0840373988733
7 1 14 P F 64.59 olf_size 8.08871410572056
7 1 15 P F 48.38 olf_size 5.92635073768543
7 1 16 P F 48.32 olf_size 5.94060344399929
7 1 19 P M 43.08 olf_size 4.01752094630921
7 1 20 P F 51.79 olf_size 8.52017777611811
7 1 21 P F 45.46 olf_size 4.62359547750773
7 1 22 P M 44.84 olf_size 5.29450230069259
7 1 23 P M 51.54 olf_size 7.30100077470332
7 1 24 P F 46.85 olf_size 3.97528427685613
7 1 26 P M 50.18 olf_size 5.26766612450518
7 1 27 P M 47.3 olf_size 7.80019592464047
7 1 272 P NA NA olf_size 5.59787692695508
7 1 30 P NA 46.72 olf_size 2.98441175317049
7 1 31 P NA 62.27 olf_size 10.9050354372048
7 1 312 P NA NA olf_size 4.83852533662974
7 1 4 P F 55.1 olf_size 7.67116384898199
7 1 5 P F 56.6 olf_size 7.21819704045687
7 1 7 P F 49.5 olf_size 6.97283254578189
7 1 8 P F 47.2 olf_size 8.72764173850837
7 1 9 P F 49.52 olf_size 10.6470025951859
7 2 1 P F 64.1 olf_size 10.6047500570073
7 2 10 P M 58.32 olf_size 7.01274997939133
7 2 2 P M 60.97 olf_size 9.59876763755725
7 2 7 P F 57.62 olf_size 5.12283838045637
7 2 8 P F 55.04 olf_size 5.37911221276947
7 2 9 P F 58.44 olf_size 7.51383852352704
7 3 3 P F 61.48 olf_size 12.0468458695701
8 1 1 NP F 71.4 olf_size 8.12824597847383
8 1 11 NP F 65.8 olf_size 10.6362158006983
8 1 12 NP F 64.78 olf_size 10.6337930868061
8 1 13 NP M 59 olf_size 8.80689349693458
8 1 14 NP M 55.92 olf_size 4.80444279931032
8 1 16 NP F 54.58 olf_size 9.60827234392421
8 1 2 NP F 60.69 olf_size 9.0123467549937
