sex,ind
0,F3_P10_100
1,F3_P10_51
1,F3_P10_52
1,F3_P10_54
0,F3_P10_55
1,F3_P10_56
1,F3_P10_57
0,F3_P10_58
0,F3_P10_59
0,F3_P10_60
0,F3_P10_61
0,F3_P10_62
1,F3_P10_63
1,F3_P10_64
0,F3_P10_65
1,F3_P10_66
0,F3_P10_67
1,F3_P10_68
1,F3_P10_69
1,F3_P10_70
0,F3_P10_71
0,F3_P10_72
1,F3_P10_73
0,F3_P10_74
0,F3_P10_75
0,F3_P10_76
0,F3_P10_77
0,F3_P10_78
1,F3_P10_79
0,F3_P10_80
1,F3_P10_81
0,F3_P10_82
0,F3_P10_83
0,F3_P10_84
1,F3_P10_85
1,F3_P10_86
0,F3_P10_87
1,F3_P10_88
0,F3_P10_89
0,F3_P10_90
1,F3_P10_91
1,F3_P10_92
0,F3_P10_93
0,F3_P10_94
0,F3_P10_95
1,F3_P10_96
1,F3_P10_97
0,F3_P10_98
0,F3_P10_99
0,F3_P11_100
0,F3_P11_51
1,F3_P11_52
1,F3_P11_53
1,F3_P11_54
0,F3_P11_55
1,F3_P11_56
0,F3_P11_57
0,F3_P11_58
0,F3_P11_59
1,F3_P11_60
0,F3_P11_61
0,F3_P11_62
1,F3_P11_63
1,F3_P11_64
1,F3_P11_65
1,F3_P11_66
0,F3_P11_67
0,F3_P11_68
0,F3_P11_69
0,F3_P11_70
0,F3_P11_71
1,F3_P11_72
0,F3_P11_73
1,F3_P11_74
0,F3_P11_75
1,F3_P11_76
1,F3_P11_77
1,F3_P11_78
1,F3_P11_79
1,F3_P11_80
1,F3_P11_81
1,F3_P11_82
0,F3_P11_83
1,F3_P11_84
0,F3_P11_85
1,F3_P11_86
1,F3_P11_87
1,F3_P11_88
1,F3_P11_89
0,F3_P11_90
0,F3_P11_91
0,F3_P11_92
0,F3_P11_93
1,F3_P11_94
0,F3_P11_95
1,F3_P11_96
1,F3_P11_97
0,F3_P11_98
0,F3_P11_99
1,F3_P12_100
0,F3_P12_51
0,F3_P12_52
0,F3_P12_53
0,F3_P12_54
1,F3_P12_55
0,F3_P12_56
0,F3_P12_57
1,F3_P12_58
1,F3_P12_59
1,F3_P12_60
0,F3_P12_61
0,F3_P12_62
0,F3_P12_63
0,F3_P12_64
0,F3_P12_65
1,F3_P12_66
0,F3_P12_67
0,F3_P12_68
0,F3_P12_69
0,F3_P12_70
0,F3_P12_71
1,F3_P12_72
1,F3_P12_73
0,F3_P12_74
0,F3_P12_75
1,F3_P12_76
0,F3_P12_77
0,F3_P12_79
1,F3_P12_80
1,F3_P12_81
0,F3_P12_82
0,F3_P12_83
1,F3_P12_84
0,F3_P12_85
0,F3_P12_86
1,F3_P12_87
0,F3_P12_88
1,F3_P12_89
1,F3_P12_90
1,F3_P12_91
1,F3_P12_92
0,F3_P12_93
1,F3_P12_94
1,F3_P12_95
1,F3_P12_96
0,F3_P12_97
0,F3_P12_98
0,F3_P12_99
1,F3_P13_100
0,F3_P13_51
0,F3_P13_52
0,F3_P13_53
0,F3_P13_54
1,F3_P13_55
1,F3_P13_56
1,F3_P13_57
0,F3_P13_58
0,F3_P13_59
0,F3_P13_60
0,F3_P13_61
0,F3_P13_62
0,F3_P13_63
1,F3_P13_64
0,F3_P13_65
0,F3_P13_66
0,F3_P13_67
1,F3_P13_68
1,F3_P13_69
0,F3_P13_70
1,F3_P13_71
0,F3_P13_72
1,F3_P13_73
0,F3_P13_74
1,F3_P13_75
0,F3_P13_76
1,F3_P13_77
0,F3_P13_78
1,F3_P13_79
0,F3_P13_80
0,F3_P13_81
1,F3_P13_82
1,F3_P13_83
1,F3_P13_84
0,F3_P13_85
0,F3_P13_86
1,F3_P13_87
1,F3_P13_88
1,F3_P13_89
0,F3_P13_90
0,F3_P13_91
0,F3_P13_92
1,F3_P13_93
0,F3_P13_94
1,F3_P13_95
1,F3_P13_96
1,F3_P13_97
0,F3_P13_98
0,F3_P13_99
1,F3_P14_100
1,F3_P14_51
0,F3_P14_52
1,F3_P14_53
0,F3_P14_54
0,F3_P14_55
1,F3_P14_56
1,F3_P14_57
1,F3_P14_58
0,F3_P14_59
0,F3_P14_60
1,F3_P14_61
0,F3_P14_62
1,F3_P14_63
1,F3_P14_64
1,F3_P14_65
1,F3_P14_66
1,F3_P14_67
1,F3_P14_68
1,F3_P14_69
0,F3_P14_70
1,F3_P14_71
1,F3_P14_72
1,F3_P14_73
1,F3_P14_74
1,F3_P14_75
1,F3_P14_76
1,F3_P14_77
0,F3_P14_78
0,F3_P14_79
1,F3_P14_80
0,F3_P14_81
0,F3_P14_82
0,F3_P14_83
0,F3_P14_84
0,F3_P14_85
1,F3_P14_86
0,F3_P14_87
0,F3_P14_88
0,F3_P14_89
0,F3_P14_90
0,F3_P14_91
1,F3_P14_92
0,F3_P14_93
1,F3_P14_94
1,F3_P14_95
0,F3_P14_96
0,F3_P14_97
1,F3_P14_98
1,F3_P14_99
1,F3_P5_100
0,F3_P5_51
1,F3_P5_52
1,F3_P5_53
0,F3_P5_54
1,F3_P5_55
1,F3_P5_56
1,F3_P5_57
0,F3_P5_58
1,F3_P5_59
0,F3_P5_60
1,F3_P5_61
1,F3_P5_62
0,F3_P5_63
1,F3_P5_64
1,F3_P5_65
0,F3_P5_66
0,F3_P5_67
0,F3_P5_68
1,F3_P5_69
0,F3_P5_70
1,F3_P5_71
1,F3_P5_72
1,F3_P5_73
0,F3_P5_74
0,F3_P5_75
1,F3_P5_76
1,F3_P5_77
0,F3_P5_78
1,F3_P5_79
1,F3_P5_80
1,F3_P5_81
0,F3_P5_82
1,F3_P5_83
0,F3_P5_84
1,F3_P5_85
1,F3_P5_86
0,F3_P5_87
1,F3_P5_88
0,F3_P5_89
1,F3_P5_90
0,F3_P5_91
1,F3_P5_92
0,F3_P5_93
1,F3_P5_94
0,F3_P5_95
0,F3_P5_96
1,F3_P5_97
1,F3_P5_98
1,F3_P5_99
1,F3_P6_100
1,F3_P6_51
1,F3_P6_52
1,F3_P6_53
0,F3_P6_54
1,F3_P6_55
0,F3_P6_56
1,F3_P6_57
1,F3_P6_58
1,F3_P6_59
0,F3_P6_60
1,F3_P6_61
1,F3_P6_62
1,F3_P6_63
1,F3_P6_64
1,F3_P6_65
1,F3_P6_66
1,F3_P6_67
1,F3_P6_68
0,F3_P6_69
1,F3_P6_70
0,F3_P6_71
1,F3_P6_72
1,F3_P6_73
1,F3_P6_74
0,F3_P6_75
0,F3_P6_76
0,F3_P6_77
1,F3_P6_78
0,F3_P6_79
1,F3_P6_80
1,F3_P6_81
1,F3_P6_82
0,F3_P6_83
0,F3_P6_84
0,F3_P6_85
0,F3_P6_86
0,F3_P6_87
0,F3_P6_88
0,F3_P6_89
1,F3_P6_90
0,F3_P6_91
0,F3_P6_92
1,F3_P6_93
0,F3_P6_94
0,F3_P6_95
1,F3_P6_96
1,F3_P6_97
1,F3_P6_98
0,F3_P6_99
1,F3_P7_100
1,F3_P7_51
1,F3_P7_52
1,F3_P7_53
0,F3_P7_54
0,F3_P7_55
0,F3_P7_56
0,F3_P7_57
0,F3_P7_58
0,F3_P7_59
1,F3_P7_60
1,F3_P7_61
1,F3_P7_62
1,F3_P7_63
1,F3_P7_64
0,F3_P7_65
1,F3_P7_66
1,F3_P7_67
1,F3_P7_68
1,F3_P7_69
1,F3_P7_70
0,F3_P7_71
0,F3_P7_72
1,F3_P7_73
1,F3_P7_74
1,F3_P7_75
1,F3_P7_76
1,F3_P7_77
0,F3_P7_78
1,F3_P7_79
1,F3_P7_80
1,F3_P7_81
1,F3_P7_82
0,F3_P7_83
0,F3_P7_84
0,F3_P7_85
1,F3_P7_86
1,F3_P7_87
1,F3_P7_88
1,F3_P7_89
1,F3_P7_90
