pond cross id treatment sex sl bd olf_size tele_size optic_size cere_size
10 4 79 P M 47.19 8.92 6.55745941700136 40.4331288750872 114.883312394241 54.3754721570396
10 4 81 P M 37.48 7.22 5.27270985868291 27.9916890123496 75.948340616847 34.6184848054847
10 4 82 P F 44.47 9.4 6.61838553745213 41.573093889379 117.013747175453 49.5530112532419
10 4 83 P F 44.95 8.51 8.93129333582676 39.3420114441905 95.2601033934854 56.6439830536059
10 4 84 P F 36.91 7.93 4.51768635403412 29.2147040296887 78.7882916167807 36.8403187939967
10 4 85 P M 38.08 7.53 6.48713287614937 31.4617490826581 90.2764936918087 41.3140144877062
10 4 86 P M 34.77 7.29 4.81919673817345 31.8901393223424 88.5605036930644 45.3706285136158
10 4 88 P M 43.34 8.29 6.51488635022009 30.2000399454363 90.5976427341349 49.1010327326142
10 4 89 P F 32.37 6.44 4.47991255143028 30.212471269326 84.2391780856341 39.6085316478231
10 4 90 P F 37.25 7.65 6.04921809045921 32.6332118768553 75.1960928294249 42.7766672543984
10 4 91 P M 35.26 7.38 7.32106620468291 31.8650411252054 91.7477508221663 42.0754990435957
10 4 92 P M 39.25 7.53 5.54142712732454 30.6632008924646 93.223141031582 42.6979699766352
10 4 94 P F 41.55 8.19 8.44844664679446 36.719279806161 97.5734567978689 41.2160256956255
10 4 95 P F 40.27 7.49 8.61264034048638 38.8802896702589 106.624777811871 0
10 4 96 P M 37.81 7.86 5.47131114261955 29.6612846978888 78.7576848903359 38.7243978490753
10 4 97 P M 36.1 6.82 3.04913302236996 18.3864815142025 62.4950710644971 28.210300213512
10 4 98 P F 36.78 7.33 5.01963120694002 27.0634498702154 75.0245876353165 33.353683591469
10 4 99 P F 44.55 9.37 6.68549559866431 34.548861015852 96.0842977738576 46.7319136392929
10 4 100 P F 42.66 8.85 5.5956890867678 37.9402122071924 107.381463802314 55.014618074129
11 1 58 P F 33.23 6.6 2.67196355318035 23.7495219716809 71.1578707311314 30.0246973429618
11 1 62 P F 33.2 6.43 4.12222107250723 22.4194919068246 65.9362140602223 26.6498283763016
11 1 66 P M 51.18 10.71 3.1670769659118 19.4044151400285 67.8524897573132 27.721553383086
11 1 76 P M 47.21 8.97 4.80307101947936 35.5594363272383 97.4308317928932 45.317632216657
11 1 77 P M 39.29 7.81 4.76103771208188 32.9456271714987 101.581576929871 41.0233766875059
11 1 80 P M 51.64 10.55 11.2001760593564 36.7761206562793 101.171095364718 49.813225893193
11 1 87 P M 40.35 8.02 3.73172974482231 35.9910089557273 89.4215551120229 36.6535879794672
11 1 88 P M 38.05 8.11 3.64574035603192 19.4088194546464 62.591527784116 22.8786844524424
11 1 89 P M 34.13 7.13 3.57995111010168 21.3754677417446 71.2053757617604 26.8380705859303
11 1 90 P F 37.76 7.95 5.3503275881731 34.6507677166644 98.9678072963577 42.9395411716552
11 1 91 P F 36.61 6.88 7.44165471221055 36.4928496226797 97.9060146701489 39.0637883927065
11 1 92 P F 39.82 8.7 4.35307629161997 29.3800172680246 82.3258679117484 32.4105287449966
11 1 93 P F 47.84 11.2 7.62546064143999 48.4433984251115 109.876567119157 54.4888440614275
11 1 94 P M 55.78 11.2 7.19293042942892 49.2120606257952 129.081736861374 53.772035238591
11 1 95 P F 35.22 7.07 4.87203972397122 26.2318446273672 76.3473034145306 34.6286296307452
11 1 96 P M 47.48 9.57 7.57267432962471 47.6095207594819 137.090728771822 63.1798385007011
11 1 97 P M 49.32 9.75 6.49138946246604 39.9287747948806 106.726810510166 46.4362937012665
11 1 98 P F 45.15 9.46 4.90311557668434 35.7184088730115 96.4297836249347 46.2480562378394
11 1 99 P F 37.39 7.57 6.87195544447603 26.733673909336 86.6175337270396 31.9299787472746
11 1 100 P F 37.1 7.82 5.44757878802768 31.5069783921481 89.7249048148205 33.3415895095078
12 2 51 P F 37.13 7.16 5.96886152234379 28.8329097147432 81.8111999493708 33.6776193619183
12 2 54 P F 38.63 7.69 4.58089082852256 23.4989948025916 78.6668799155952 32.2898978327522
12 2 57 P F 46.46 9.56 4.926781268432 54.4818656789963 122.595688671515 56.216539995779
