pond cross id treatment sex sl bd region size resid
10 4 79 P M 47.19 8.92 olf_size 6.55745941700136 10.2861275989794
10 4 81 P M 37.48 7.22 olf_size 5.27270985868291 -1.6767011258143
10 4 82 P F 44.47 9.4 olf_size 6.61838553745213 7.64699434346089
10 4 83 P F 44.95 8.51 olf_size 8.93129333582676 14.3526730294228
10 4 84 P F 36.91 7.93 olf_size 4.51768635403412 1.00266843605039
10 4 85 P M 38.08 7.53 olf_size 6.48713287614937 4.53721216340446
10 4 86 P M 34.77 7.29 olf_size 4.81919673817345 11.2507432907126
10 4 88 P M 43.34 8.29 olf_size 6.51488635022009 8.10206002965504
10 4 89 P F 32.37 6.44 olf_size 4.47991255143028 7.41511199693087
10 4 90 P F 37.25 7.65 olf_size 6.04921809045921 6.66610094041718
10 4 91 P M 35.26 7.38 olf_size 7.32106620468291 7.56229376640689
10 4 92 P M 39.25 7.53 olf_size 5.54142712732454 4.98201568597814
10 4 94 P F 41.55 8.19 olf_size 8.44844664679446 1.65387523179126
10 4 95 P F 40.27 7.49 olf_size 8.61264034048638 -38.5347021587617
10 4 96 P M 37.81 7.86 olf_size 5.47131114261955 2.16432290162487
10 4 97 P M 36.1 6.82 olf_size 3.04913302236996 -6.97716801388066
10 4 98 P F 36.78 7.33 olf_size 5.01963120694002 -2.37961654799347
10 4 99 P F 44.55 9.37 olf_size 6.68549559866431 4.76168121044486
10 4 100 P F 42.66 8.85 olf_size 5.5956890867678 14.5614772832397
11 1 58 P F 33.23 6.6 olf_size 2.67196355318035 -2.85903913790106
11 1 62 P F 33.2 6.43 olf_size 4.12222107250723 -6.20982728491113
11 1 66 P M 51.18 10.71 olf_size 3.1670769659118 -19.5705401884424
11 1 76 P M 47.21 8.97 olf_size 4.80307101947936 1.2122337788301
11 1 77 P M 39.29 7.81 olf_size 4.76103771208188 3.27531463731528
11 1 80 P M 51.64 10.55 olf_size 11.2001760593564 2.15189308702922
11 1 87 P M 40.35 8.02 olf_size 3.73172974482231 -1.94532969836155
11 1 88 P M 38.05 8.11 olf_size 3.64574035603192 -13.8740370522092
11 1 89 P M 34.13 7.13 olf_size 3.57995111010168 -6.76809048443669
11 1 90 P F 37.76 7.95 olf_size 5.3503275881731 6.41960092362166
11 1 91 P F 36.61 6.88 olf_size 7.44165471221055 3.46694623126152
11 1 92 P F 39.82 8.7 olf_size 4.35307629161997 -5.76296111901312
11 1 93 P F 47.84 11.2 olf_size 7.62546064143999 9.87774841094769
11 1 94 P M 55.78 11.2 olf_size 7.19293042942892 2.78754932070816
11 1 95 P F 35.22 7.07 olf_size 4.87203972397122 0.147532113089969
11 1 96 P M 47.48 9.57 olf_size 7.57267432962471 18.857712686023
11 1 97 P M 49.32 9.75 olf_size 6.49138946246604 0.637210948046647
11 1 98 P F 45.15 9.46 olf_size 4.90311557668434 3.79620741598869
11 1 99 P F 37.39 7.57 olf_size 6.87195544447603 -4.29296472507399
11 1 100 P F 37.1 7.82 olf_size 5.44757878802768 -2.64857270622272
12 2 51 P F 37.13 7.16 olf_size 5.96886152234379 -2.33662367346241
12 2 54 P F 38.63 7.69 olf_size 4.58089082852256 -4.92838618513536
12 2 57 P F 46.46 9.56 olf_size 4.926781268432 12.7131620492055
12 2 61 P F 47.35 9.31 olf_size 5.12813555610612 9.68346396392368
12 2 63 P F 43.3 8.4 olf_size 5.53644632634015 4.35684906673215
12 2 67 P F 42.5 8.55 olf_size 7.59794876096075 9.62687690461329
12 2 72 P M 39.22 7.18 olf_size 4.06499748148361 -2.73120740351576
12 2 74 P F 36.79 7.38 olf_size 3.79108060848864 0.909494648649989
12 2 75 P F 37.09 7.4 olf_size 3.66260335209524 -7.20343839991354
12 2 76 P M 47.59 8.9 olf_size 4.08745023269111 -12.8201449824696
12 2 80 P M 49.51 9.43 olf_size 2.62436491174356 12.2047516196676
12 2 88 P F 39.77 7.67 olf_size 1.84565604772576 -12.1601728366947
12 2 89 P M 40.42 7.82 olf_size 4.608213909188 -3.55954963259712
12 2 91 P M 44.65 8.66 olf_size 6.44971973961321 13.2993556529739
12 2 92 P M 36.79 6.95 olf_size 4.11993177931866 -16.1304942075376
12 2 93 P F 47.05 9.85 olf_size 2.31591850492587 -10.9857384936095
12 2 94 P M 45.91 8.59 olf_size 3.01010817308645 -10.121969212977
12 2 96 P M 51.61 9.37 olf_size 2.99498203080496 -17.0294613163577
12 2 100 P M 37.64 7.09 olf_size 4.4210054721055 5.69503855887161
13 7 54 P F 38.7 7.96 olf_size 3.68591494202928 0.408503635762035
13 7 58 P F 38.18 8.13 olf_size 4.02306964320073 -4.33135501958725
13 7 61 P F 39.22 7.57 olf_size 2.95978973758216 -8.38814139168335
13 7 64 P M 35.13 7.19 olf_size 4.9850347458586 1.22976255664804
13 7 67 P F 30.98 6.16 olf_size 2.2441281648562 -15.3249671818005
13 7 69 P M 44.64 9.51 olf_size 2.76548401499563 -10.2934874869172
13 7 71 P M 43.14 9.17 olf_size 4.80693753153811 -7.11548492452151
13 7 79 P M 62.37 12.67 olf_size 2.3910259806211 -40.0285677440247
13 7 80 P F 46.61 9.71 olf_size 1.49929618906254 -4.01009943943835
13 7 81 P F 40.39 7.83 olf_size 2.96278400667677 -15.0146430179374
13 7 82 P M 41.42 8.61 olf_size 4.06249477205061 -13.616547130944
13 7 84 P M 36.15 7.15 olf_size 2.92395287414023 -14.6445247720179
13 7 88 P M 55.64 11.56 olf_size 1.87118706952014 -16.8323679856902
13 7 89 P M 55.08 11.26 olf_size 3.55684098219368 -15.6087267346553
13 7 91 P F 41.57 8.43 olf_size 2.08496373128453 -20.7007903568159
13 7 92 P F 42.09 8.81 olf_size 5.0914171695482 -10.7280133353958
13 7 94 P F 46.96 9.69 olf_size 6.67479362790898 -4.91507277255913
13 7 95 P M 45.71 9.83 olf_size 5.20500557991208 -11.6435887318288
13 7 97 P M 39.95 8.49 olf_size 4.26782092226644 -5.67322485520971
13 2 100 P M 46.98 10.08 olf_size 6.20609001770917 15.1783692635286
14 2 76 NP M 43.52 9.22 olf_size 6.30292614219788 35.8440606025474
14 2 77 NP M 47.02 9.47 olf_size 5.87434045141852 17.3810060952907
14 2 80 NP M 42.4 8.1 olf_size 3.69239871785312 6.8631058704688
14 2 82 NP F 48.86 10.19 olf_size 6.83299579541698 3.68751626541042
14 2 83 NP F 31.36 6.46 olf_size 4.87911180094014 2.57502253549138
14 2 84 NP F 34.03 6.59 olf_size 5.66559607553216 0.472835936516248
14 2 85 NP F 43.03 8.46 olf_size 4.36290850970069 13.232963404334
14 2 86 NP M 49.95 10 olf_size 8.03206080746877 17.9712661986816
14 2 88 NP F 42.51 8.51 olf_size 4.71242364175818 3.53991240258691
14 2 89 NP F 45.32 8.63 olf_size 5.87071422487057 5.0799182764027
14 2 90 NP F 38.87 7.63 olf_size 5.82654518375476 6.68028070608738
14 2 91 NP F 39.43 8.47 olf_size 6.27578632317904 11.9662399322802
14 2 93 NP F 43.57 8.95 olf_size 5.44949445061146 18.3652875927883
14 2 94 NP M 43.4 8.03 olf_size 5.01784829081385 8.50957991733573
14 2 95 NP M 40.1 8.14 olf_size 3.63885657952782 -7.16363756477999
14 2 97 NP F 42.45 8.69 olf_size 5.04159148400353 11.0334468627199
14 2 98 NP M 40.7 8.03 olf_size 4.07386206276323 10.8605031426717
14 2 99 NP M 42.33 8.82 olf_size 5.14148433320035 -1.63404247833477
14 2 100 NP M 46.23 9.89 olf_size 6.3788333959447 -1.49624455591398
5 1 53 NP M 33.53 6.1 olf_size 4.07150407905237 6.61888444345024
5 1 54 NP F 27.91 5.39 olf_size 3.14487704590946 -5.40180509255779
5 1 56 NP M 28.05 5.66 olf_size 7.73745331577747 44.3673644027932
5 1 58 NP F 26.94 5.23 olf_size 5.50445007234677 11.1970361056278
5 1 61 NP M 37.97 6.69 olf_size 4.39537372170426 -6.9941599690461
5 1 64 NP M 26.05 5.77 olf_size 4.24138386207858 5.71606714306792
5 1 65 NP M 34.8 6.8 olf_size 2.0782402912035 -0.497776003419139
5 1 78 NP F 33.35 6.23 olf_size 3.03002291748837 -2.68455279103711
5 1 82 NP F 32.48 6.89 olf_size 2.49738799744962 -4.48841992382445
5 1 84 NP F 34.78 7.08 olf_size 3.72656789541747 -5.83882524854117
5 1 87 NP F 37.86 7.47 olf_size 4.50172228551506 -3.85346955632377
5 1 89 NP F 37.69 7.19 olf_size 5.03295377862176 6.00441728387682
