pond cross id treatment sex sl bd region size
10 4 79 P M 47.19 8.92 olf_size 6.55745941700136
10 4 81 P M 37.48 7.22 olf_size 5.27270985868291
10 4 82 P F 44.47 9.4 olf_size 6.61838553745213
10 4 83 P F 44.95 8.51 olf_size 8.93129333582676
10 4 84 P F 36.91 7.93 olf_size 4.51768635403412
10 4 85 P M 38.08 7.53 olf_size 6.48713287614937
10 4 86 P M 34.77 7.29 olf_size 4.81919673817345
10 4 88 P M 43.34 8.29 olf_size 6.51488635022009
10 4 89 P F 32.37 6.44 olf_size 4.47991255143028
10 4 90 P F 37.25 7.65 olf_size 6.04921809045921
10 4 91 P M 35.26 7.38 olf_size 7.32106620468291
10 4 92 P M 39.25 7.53 olf_size 5.54142712732454
10 4 94 P F 41.55 8.19 olf_size 8.44844664679446
10 4 95 P F 40.27 7.49 olf_size 8.61264034048638
10 4 96 P M 37.81 7.86 olf_size 5.47131114261955
10 4 97 P M 36.1 6.82 olf_size 3.04913302236996
10 4 98 P F 36.78 7.33 olf_size 5.01963120694002
10 4 99 P F 44.55 9.37 olf_size 6.68549559866431
10 4 100 P F 42.66 8.85 olf_size 5.5956890867678
11 1 58 P F 33.23 6.6 olf_size 2.67196355318035
11 1 62 P F 33.2 6.43 olf_size 4.12222107250723
11 1 66 P M 51.18 10.71 olf_size 3.1670769659118
11 1 76 P M 47.21 8.97 olf_size 4.80307101947936
11 1 77 P M 39.29 7.81 olf_size 4.76103771208188
11 1 80 P M 51.64 10.55 olf_size 11.2001760593564
11 1 87 P M 40.35 8.02 olf_size 3.73172974482231
11 1 88 P M 38.05 8.11 olf_size 3.64574035603192
11 1 89 P M 34.13 7.13 olf_size 3.57995111010168
11 1 90 P F 37.76 7.95 olf_size 5.3503275881731
11 1 91 P F 36.61 6.88 olf_size 7.44165471221055
11 1 92 P F 39.82 8.7 olf_size 4.35307629161997
11 1 93 P F 47.84 11.2 olf_size 7.62546064143999
11 1 94 P M 55.78 11.2 olf_size 7.19293042942892
11 1 95 P F 35.22 7.07 olf_size 4.87203972397122
11 1 96 P M 47.48 9.57 olf_size 7.57267432962471
11 1 97 P M 49.32 9.75 olf_size 6.49138946246604
11 1 98 P F 45.15 9.46 olf_size 4.90311557668434
11 1 99 P F 37.39 7.57 olf_size 6.87195544447603
11 1 100 P F 37.1 7.82 olf_size 5.44757878802768
12 2 51 P F 37.13 7.16 olf_size 5.96886152234379
12 2 54 P F 38.63 7.69 olf_size 4.58089082852256
12 2 57 P F 46.46 9.56 olf_size 4.926781268432
