Label	Angle	Length
p5.53_T001.jpg	-90.000	25.000
p5.53_T001.jpg	-90.000	30.000
p5.53_T001.jpg	0.000	27.000
p5.53_T001.jpg	-90.000	91.000
p5.53_T001.jpg	0.000	65.000
p5.53_T001.jpg	90.000	139.000
p5.53_T001.jpg	0.000	117.000
p5.53_T001.jpg	-91.507	76.026
p5.53_T001.jpg	0.000	104.000
p5.54_T001.jpg	-90.000	22.000
p5.54_T001.jpg	-90.000	22.000
p5.54_T001.jpg	-2.603	22.023
p5.54_T001.jpg	-87.769	77.058
p5.54_T001.jpg	1.169	49.010
p5.54_T001.jpg	-88.409	108.042
p5.54_T001.jpg	1.953	88.051
p5.54_T001.jpg	-91.042	55.009
p5.54_T001.jpg	-0.881	65.008
p5.56_T001.jpg	-90.000	22.000
p5.56_T001.jpg	-93.180	36.056
p5.56_T001.jpg	-3.468	33.061
p5.56_T001.jpg	-96.096	103.586
p5.56_T001.jpg	-17.488	76.538
p5.56_T001.jpg	-89.556	129.004
p5.56_T001.jpg	-17.379	137.266
p5.56_T001.jpg	-96.582	104.690
p5.56_T001.jpg	-5.870	107.564
p5.58_T001.jpg	-90.000	22.000
p5.58_T001.jpg	-101.689	29.614
p5.58_T001.jpg	-12.095	28.636
p5.58_T001.jpg	-94.708	85.288
p5.58_T001.jpg	-10.125	56.886
p5.58_T001.jpg	-85.914	126.321
p5.58_T001.jpg	-11.834	107.280
p5.58_T001.jpg	-93.366	68.118
p5.58_T001.jpg	175.452	88.278
p5.61_T001.jpg	-90.000	22.000
p5.61_T001.jpg	-90.000	27.000
p5.61_T001.jpg	4.574	25.080
p5.61_T001.jpg	95.856	78.409
p5.61_T001.jpg	12.529	55.317
p5.61_T001.jpg	-81.104	116.400
p5.61_T001.jpg	14.899	112.792
p5.61_T001.jpg	-90.955	60.008
p5.61_T001.jpg	4.514	76.236
p5.64_T001.jpg	-90.000	25.000
p5.64_T001.jpg	-108.435	31.623
p5.64_T001.jpg	-12.995	26.683
p5.64_T001.jpg	-104.511	87.801
p5.64_T001.jpg	-13.191	65.734
p5.64_T001.jpg	-102.804	135.366
p5.64_T001.jpg	-10.349	116.902
p5.64_T001.jpg	-97.214	79.630
p5.64_T001.jpg	-9.118	82.037
p5.65_T001.jpg	-90.000	24.000
p5.65_T001.jpg	-78.690	20.396
p5.65_T001.jpg	15.524	18.682
p5.65_T001.jpg	-84.623	85.376
p5.65_T001.jpg	13.761	50.448
p5.65_T001.jpg	-86.009	129.314
p5.65_T001.jpg	6.170	111.647
p5.65_T001.jpg	-87.678	74.061
p5.65_T001.jpg	4.821	83.295
p5.78_T001.jpg	-90.000	24.000
p5.78_T001.jpg	-92.291	25.020
p5.78_T001.jpg	7.765	22.204
p5.78_T001.jpg	-87.064	78.102
p5.78_T001.jpg	8.973	57.706
p5.78_T001.jpg	-88.568	120.037
p5.78_T001.jpg	0.494	116.004
p5.78_T001.jpg	-92.322	74.061
p5.78_T001.jpg	180.000	75.000
p5.82_T001.jpg	90.000	23.000
p5.82_T001.jpg	-90.000	21.000
p5.82_T001.jpg	2.862	20.025
p5.82_T001.jpg	-86.947	75.107
p5.82_T001.jpg	9.090	50.636
p5.82_T001.jpg	2.626	109.115
p5.82_T001.jpg	-88.122	122.066
p5.82_T001.jpg	0.000	65.000
p5.82_T001.jpg	-90.000	72.000
p5.84_T001.jpg	-90.000	23.000
p5.84_T001.jpg	-87.709	25.020
p5.84_T001.jpg	4.574	25.080
p5.84_T001.jpg	-86.100	88.204
p5.84_T001.jpg	1.941	59.034
p5.84_T001.jpg	0.521	110.005
p5.84_T001.jpg	-90.000	121.000
p5.84_T001.jpg	-91.660	69.029
p5.84_T001.jpg	0.830	69.007
p5.87_T001.jpg	-90.000	24.000
p5.87_T001.jpg	-91.736	33.015
p5.87_T001.jpg	0.000	25.000
p5.87_T001.jpg	92.663	86.093
p5.87_T001.jpg	1.685	68.029
p5.87_T001.jpg	-90.455	126.004
p5.87_T001.jpg	-1.893	121.066
p5.87_T001.jpg	-90.000	79.000
p5.87_T001.jpg	0.000	76.000
p5.89_T001.jpg	-87.397	22.023
p5.89_T001.jpg	-105.945	29.120
p5.89_T001.jpg	-12.995	26.683
p5.89_T001.jpg	-5.528	62.290
p5.89_T001.jpg	-103.523	81.253
p5.89_T001.jpg	-90.000	128.000
p5.89_T001.jpg	-19.983	105.342
p5.89_T001.jpg	-97.640	82.735
p5.89_T001.jpg	-10.176	79.246
p5.91_T001.jpg	-90.000	24.000
p5.91_T001.jpg	-94.635	37.121
p5.91_T001.jpg	1.685	34.015
p5.91_T001.jpg	-7.496	76.655
p5.91_T001.jpg	-104.036	86.585
p5.91_T001.jpg	-92.783	144.170
p5.91_T001.jpg	-4.338	145.417
p5.91_T001.jpg	-90.000	95.000
p5.91_T001.jpg	-1.157	99.020
p5.93_T001.jpg	-87.709	25.020
p5.93_T001.jpg	-92.203	26.019
p5.93_T001.jpg	2.386	24.021
p5.93_T001.jpg	-85.135	94.340
p5.93_T001.jpg	1.975	58.034
p5.93_T001.jpg	-84.500	135.624
p5.93_T001.jpg	14.036	103.078
p5.93_T001.jpg	-88.315	68.029
p5.93_T001.jpg	2.322	74.061
p5.94_T001.jpg	-87.614	24.021
p5.94_T001.jpg	-98.746	26.306
p5.94_T001.jpg	-9.462	24.331
p5.94_T001.jpg	-103.055	70.831
p5.94_T001.jpg	-14.036	53.600
p5.94_T001.jpg	-92.816	122.147
p5.94_T001.jpg	-2.834	101.124
p5.94_T001.jpg	-91.548	74.027
p5.94_T001.jpg	-3.013	76.105
p5.95_T002.jpg	-87.510	23.022
p5.95_T002.jpg	-105.068	26.926
p5.95_T002.jpg	-10.305	22.361
p5.95_T002.jpg	-92.974	77.104
p5.95_T002.jpg	-5.102	56.223
p5.95_T002.jpg	-97.658	120.071
p5.95_T002.jpg	-1.245	92.022
p5.95_T002.jpg	-94.028	71.176
p5.95_T002.jpg	-4.086	70.178
p5.97_T001.jpg	-90.000	25.000
p5.97_T001.jpg	-94.236	27.074
p5.97_T001.jpg	2.726	21.024
p5.97_T001.jpg	91.998	86.052
p5.97_T001.jpg	2.603	66.068
p5.97_T001.jpg	-86.295	139.291
p5.97_T001.jpg	10.491	109.836
p5.97_T001.jpg	-87.852	80.056
p5.97_T001.jpg	4.185	82.219
p5.98_T001.jpg	-87.397	22.023
p5.98_T001.jpg	-82.405	30.265
p5.98_T001.jpg	10.886	26.476
p5.98_T001.jpg	-78.043	86.885
p5.98_T001.jpg	12.995	66.708
p5.98_T001.jpg	-78.449	139.832
p5.98_T001.jpg	17.409	123.665
p5.98_T001.jpg	-81.674	82.873
p5.98_T001.jpg	8.653	93.059
p5.99_T001.jpg	-90.000	25.000
p5.99_T001.jpg	-87.138	20.025
p5.99_T001.jpg	4.236	27.074
p5.99_T001.jpg	99.894	87.298
p5.99_T001.jpg	11.310	66.287
p5.99_T001.jpg	-81.425	127.424
p5.99_T001.jpg	10.620	113.952
p5.99_T001.jpg	-85.544	77.233
p5.99_T001.jpg	7.734	81.744
P10.100_T001.jpg	-87.614	24.021
P10.100_T001.jpg	84.806	33.136
P10.100_T001.jpg	-1.848	31.016
P10.100_T001.jpg	-93.045	94.133
P10.100_T001.jpg	-1.548	74.027
P10.100_T001.jpg	-90.790	145.014
P10.100_T001.jpg	0.421	136.004
P10.100_T001.jpg	-91.685	102.044
P10.100_T001.jpg	-1.157	99.020
P10.79_T001.jpg	90.000	23.000
P10.79_T001.jpg	-93.013	38.053
P10.79_T001.jpg	-1.975	29.017
P10.79_T001.jpg	-89.377	92.005
P10.79_T001.jpg	0.000	74.000
P10.79_T001.jpg	-93.225	142.225
P10.79_T001.jpg	0.843	136.015
P10.79_T001.jpg	-91.102	104.019
P10.79_T001.jpg	-1.302	88.023
P10.81_T001.jpg	-85.236	24.083
P10.81_T001.jpg	-90.000	31.000
P10.81_T001.jpg	9.162	31.401
P10.81_T001.jpg	-82.539	84.717
P10.81_T001.jpg	10.389	61.000
P10.81_T001.jpg	-80.380	119.683
P10.81_T001.jpg	13.325	117.154
P10.81_T001.jpg	-87.306	85.094
P10.81_T001.jpg	3.053	75.107
P10.82_T001.jpg	-87.510	23.022
P10.82_T001.jpg	-90.000	36.000
P10.82_T001.jpg	1.848	31.016
P10.82_T001.jpg	-85.285	97.329
P10.82_T001.jpg	2.386	72.062
P10.82_T001.jpg	-86.967	151.212
P10.82_T001.jpg	5.274	130.553
P10.82_T001.jpg	-90.000	95.000
P10.82_T001.jpg	0.000	88.000
P10.83_T001.jpg	-87.614	24.021
P10.83_T001.jpg	-84.508	52.240
P10.83_T001.jpg	9.162	31.401
P10.83_T001.jpg	-79.380	97.673
P10.83_T001.jpg	9.335	73.980
P10.83_T001.jpg	-86.186	135.300
P10.83_T001.jpg	3.991	129.314
P10.83_T001.jpg	-82.333	104.938
P10.83_T001.jpg	8.702	99.141
P10.84_T001.jpg	-90.000	24.000
P10.84_T001.jpg	-101.310	30.594
P10.84_T001.jpg	-4.236	27.074
P10.84_T001.jpg	-100.244	84.345
P10.84_T001.jpg	-7.237	63.506
P10.84_T001.jpg	-95.541	134.629
P10.84_T001.jpg	-4.276	107.299
P10.84_T001.jpg	-95.856	78.409
P10.84_T001.jpg	-3.327	86.145
P10.85_T001.jpg	-87.510	23.022
P10.85_T001.jpg	-88.363	35.014
P10.85_T001.jpg	7.352	31.257
P10.85_T001.jpg	-85.962	85.212
P10.85_T001.jpg	5.528	62.290
P10.85_T001.jpg	-88.698	132.034
P10.85_T001.jpg	4.475	115.352
