Label	Angle	Length
p8.2.31.jpg	-90.000	46.000
p8.2.31.jpg	-105.068	53.852
p8.2.31.jpg	-21.801	43.081
p8.2.31.jpg	-100.620	260.461
p8.2.31.jpg	-12.381	167.905
p8.2.31.jpg	-104.890	358.022
p8.2.31.jpg	-15.998	297.523
p8.2.31.jpg	-103.908	216.342
p8.2.31.jpg	-19.041	239.082
p8.2.41.jpg	-92.386	48.042
p8.2.41.jpg	-87.064	78.102
p8.2.41.jpg	3.468	66.121
p8.2.41.jpg	-79.771	270.296
p8.2.41.jpg	13.707	168.808
p8.2.41.jpg	-80.828	388.973
p8.2.41.jpg	8.130	325.269
p8.2.41.jpg	-85.567	258.774
p8.2.41.jpg	5.631	285.377
p8.2.51.jpg	-90.000	52.000
p8.2.51.jpg	-92.291	100.080
p8.2.51.jpg	-3.180	72.111
p8.2.51.jpg	-91.884	304.164
p8.2.51.jpg	0.000	212.000
p8.2.51.jpg	-91.239	370.086
p8.2.51.jpg	-0.647	354.023
p8.2.51.jpg	-90.494	232.009
p8.2.51.jpg	0.836	274.029
p8.2.61.jpg	-90.000	46.000
p8.2.61.jpg	-93.468	66.121
p8.2.61.jpg	-5.711	60.299
p8.2.61.jpg	-94.970	323.215
p8.2.61.jpg	-5.826	197.018
p8.2.61.jpg	-95.741	379.905
p8.2.61.jpg	-5.947	386.078
p8.2.61.jpg	-93.912	234.546
p8.2.61.jpg	-5.013	343.313
p8.2.81.jpg	-90.000	50.000
p8.2.81.jpg	-91.169	98.020
p8.2.81.jpg	1.432	80.025
p8.2.81.jpg	-90.000	278.000
p8.2.81.jpg	0.000	200.000
p8.2.81.jpg	-91.372	334.096
p8.2.81.jpg	-0.331	346.006
p8.2.81.jpg	-90.868	264.030
p8.2.81.jpg	0.824	278.029
p8.2.91.jpg	-92.291	50.040
p8.2.91.jpg	-90.000	98.000
p8.2.91.jpg	-3.270	70.114
p8.2.91.jpg	-91.177	292.062
p8.2.91.jpg	0.000	168.000
p8.2.91.jpg	-92.755	374.433
p8.2.91.jpg	-1.397	328.098
p8.2.91.jpg	-92.426	236.212
p8.2.91.jpg	-0.424	270.007
p9.1.101.jpg	-90.000	48.000
p9.1.101.jpg	-90.000	70.000
p9.1.101.jpg	0.000	70.000
