pond cross id treatment sex sl bd region size resid
wild lim 13 wild F 3.537102739 NA olf_size 3.80216767254136 -16.9189335931032
wild lim 15 wild M 3.93897024 NA olf_size 4.68743006763288 12.6499362972406
wild lim 14 wild M 4.480141066 NA olf_size 3.2626862236549 8.13771349368665
wild lim 13 wild M 4.635882716 NA olf_size 3.72132071799554 4.04324577456186
wild lim 12 wild M 4.455497994 NA olf_size 3.97877132829594 9.58915258514783
wild lim 11 wild M 4.333571975 NA olf_size 3.05942976316773 2.83442494908869
wild ben 10 wild M 5.474333333 NA olf_size 3.46345225136063 9.04644974278436
wild ben 9 wild M 5.481980769 NA olf_size 5.17412066321566 17.8768890038688
wild ben 8 wild M 5.135423543 NA olf_size 5.47281193985495 5.05984118321182
wild ben 7 wild M 4.888881203 NA olf_size 2.84588762414551 -3.78241236883142
wild ben 6 wild M 5.137254902 NA olf_size 4.55040723885328 9.9753988843765
wild ben 1 wild F 4.836800444 NA olf_size 6.69120887287071 -11.3506014521448
wild ben 2 wild F 5.336580247 NA olf_size 6.9947885019527 15.4824972857195
wild ben 3 wild F 5.105316831 NA olf_size 5.11139048135096 -9.09096982310051
wild ben 4 wild F 5.036203619 NA olf_size 5.73982249000548 0.942821234080825
wild ben 5 wild F 6.699401239 NA olf_size 3.85873024706999 -4.47377459462486
wild ben 6 wild F 5.773233918 NA olf_size 3.99011417282732 -4.26073417615418
wild ben 8 wild F 5.637868852 NA olf_size 5.18313150737093 4.3026849710856
wild ben 9 wild F 6.335516084 NA olf_size 3.9727757589044 3.5880942041475
wild ben 10 wild F 6.385271776 NA olf_size 4.85888163633724 -4.83522550445409
wild ben 11 wild M 5.271157576 NA olf_size 5.21267326791657 4.94573568826811
wild ben 12 wild M 4.632543426 NA olf_size 4.78085142149201 14.4077374716155
wild ben 13 wild M 7.328276042 NA olf_size 4.96540553184154 -1.61134121142987
wild ben 14 wild M 6.638488506 NA olf_size 6.09500194109134 -3.38573977355859
wild ben 15 wild M 4.925301075 NA olf_size 2.7659667097141 -10.8870083933594
wild ben 11 wild F 6.497584906 NA olf_size 4.84397665565793 -19.8485570355648
wild ben 12 wild F 5.906647059 NA olf_size 4.44604065312834 -2.89645284343168
wild ben 13 wild F 5.346025418 NA olf_size 3.11223275264691 -5.94216140365141
wild ben 14 wild F 5.086246493 NA olf_size 2.71377219673565 -18.2479023594158
wild ben 5 wild M 5.310410318 NA olf_size 5.30566578505869 -3.40170483767865
wild ben 4 wild M 5.577535981 NA olf_size 3.90092182452331 -13.0641500727126
wild ben 3 wild M 5.258956989 NA olf_size 3.18791374660531 12.1142193206336
wild ben 2 wild M 4.951081581 NA olf_size 4.60019323411781 20.1077861731806
wild ben 1 wild M 5.202161111 NA olf_size 4.99498643132606 9.92582653978186
wild lim 10 wild M 3.925218533 NA olf_size 3.08430738274578 10.6185837953082
wild lim 9 wild M 4.399894459 NA olf_size 2.75697878308175 -2.21659102379786
wild lim 8 wild M 4.37239373 NA olf_size 4.92200096695357 3.23145143628846
wild lim 6 wild M 4.384529004 NA olf_size 4.15436843342761 6.48505945681728
wild lim 5 wild M 4.57525136 NA olf_size 4.84062678898862 11.2578390851106
wild lim 4 wild M 4.436994527 NA olf_size 4.59643524380007 0.312016199071499
wild lim 3 wild M 4.122621434 NA olf_size 4.77924565115769 -4.92657456109183
wild lim 2 wild M 4.888989418 NA olf_size 5.24362781356944 -1.13564501943147
wild lim 1 wild M 4.193264706 NA olf_size 4.21208491501911 3.40916604839108
wild lim 10 wild F 4.086905595 NA olf_size 2.23092914343713 -14.0599413594466
wild lim 9 wild F 4.42434314 NA olf_size 3.02511071431018 -9.15742162877204
wild lim 7 wild F 2.863013072 NA olf_size 2.3715044467734 5.00471554615116
wild lim 6 wild F 3.784634463 NA olf_size 2.23928145391806 -7.04017694103094
wild lim 3 wild F 3.440630634 NA olf_size 3.74063226233302 2.3746548582149
