region term statistic df p.value stat_no_ixn df_no_ixn p.value_no_ixn
olf_size sl 11.5179590712556 1 0.000689270235309937 11.795881675449 1 0.000593618919252963
olf_size sex 1.67214178261351 1 0.195971905776966 1.88896077941504 1 0.169319182005595
olf_size treatment 0.0621196486805534 1 0.803176581347785 0.0770007198875062 1 0.78140385592904
olf_size sl:treatment 0.029876440531971 1 0.86277088484908 NA NA NA
olf_size sex:treatment 0.0805597647792183 1 0.776540263429317 NA NA NA
tele_size sl 111.187033862981 1 0.0000000000000000000000000538435312166825 114.401947968513 1 0.0000000000000000000000000106399445062498
tele_size sex 16.0484872079805 1 0.0000617409345061991 19.6431954464415 1 0.00000933351002140969
tele_size treatment 12.369008872277 1 0.000436519271107037 10.9328881122042 1 0.000944721110025138
tele_size sl:treatment 3.51128495887284 1 0.0609521644586447 NA NA NA
tele_size sex:treatment 0.174138688418367 1 0.676459515674699 NA NA NA
optic_size sl 89.3895314706423 1 0.00000000000000000000324247829587058 87.0938699281426 1 0.0000000000000000000103490820440981
optic_size sex 3.09141011142484 1 0.0787065747976397 5.24709277712437 1 0.02198347062285
optic_size treatment 10.8791180736448 1 0.000972545453898786 7.38164545643921 1 0.00658928561160281
optic_size sl:treatment 7.74773988049742 1 0.00537798042702672 NA NA NA
optic_size sex:treatment 0.0269735394038733 1 0.869545180532573 NA NA NA
cere_size sl 67.8710444884183 1 0.000000000000000174545672382946 69.1081950042683 1 0.0000000000000000932072591979632
cere_size sex 0.696783729454017 1 0.40386652269095 1.4212177565957 1 0.233203070292512
cere_size treatment 5.36025366193485 1 0.0206007769760598 4.72296625442265 1 0.0297623598076337
cere_size sl:treatment 3.19211413703835 1 0.0739942599530691 NA NA NA
cere_size sex:treatment 0.00226779223975322 1 0.962018022651272 NA NA NA
total_size sl 94.9978218133591 1 0.000000000000000000000190594866593954 95.3620768707088 1 0.000000000000000000000158562250729222
total_size sex 4.35548744074235 1 0.0368899008770738 6.54212438669308 1 0.0105349472223409
total_size treatment 8.51390709633329 1 0.00352442527865753 6.69348496205653 1 0.00967658638357925
total_size sl:treatment 5.49005429898373 1 0.019124949060855 NA NA NA
total_size sex:treatment 0.0297308393958936 1 0.86310237354836 NA NA NA
